long,lat,nombre,barrio
-58.45419924,-34.61913621,"ARANGUREN, JUAN F., DR. 1579",Caballito
-58.46077854,-34.62139923,"ARANGUREN, JUAN F., DR. 2015",Flores
-58.46298106,-34.62224317,"ARANGUREN, JUAN F., DR. 2207",Flores
-58.46741259,-34.62366649,"ARANGUREN, JUAN F., DR. 2551",Flores
-58.49106118,-34.63079482,"ARANGUREN, JUAN F., DR. 4475",Velez Sarsfield
-58.49489774,-34.63211098,"ARANGUREN, JUAN F., DR. 4821",Velez Sarsfield
-58.43592079,-34.61544039,"ARAOZ ALFARO, GREGORIO, DR 360",Caballito
-58.37252344,-34.64037013,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 1459",Barracas
-58.50363596,-34.64214592,ARAUJO 434,Villa Luro
-58.50140954,-34.64398369,ARAUJO 645,Villa Luro
-58.49975947,-34.64533566,ARAUJO 811,Mataderos
-58.49684626,-34.64762811,ARAUJO 1063,Mataderos
-58.49537208,-34.64875832,ARAUJO 1179,Mataderos
-58.4935527,-34.65015196,ARAUJO 1327,Mataderos
-58.49044092,-34.65257905,ARAUJO 1651,Mataderos
-58.48848841,-34.65411229,ARAUJO 1807,Mataderos
-58.4868588,-34.65538229,ARAUJO 1949,Mataderos
-58.48285697,-34.65849669,ARAUJO 2295,Mataderos
-58.47859022,-34.66182428,ARAUJO 2669,Villa Lugano
-58.47755408,-34.66266165,ARAUJO 2749,Villa Lugano
-58.4710528,-34.66771721,ARAUJO 3313,Villa Lugano
-58.43082478,-34.57089802,ARCE 323,Palermo
-58.43193815,-34.57025105,ARCE 441,Palermo
-58.43381018,-34.56916154,ARCE 611,Palermo
-58.43721523,-34.56717351,ARCE 949,Palermo
-58.4504535,-34.56425307,ARCOS 1681,Belgrano
-58.45085689,-34.56378823,ARCOS 1735,Belgrano
-58.46662217,-34.54539248,ARCOS 3877,Nuñez
-58.45081613,-34.59162156,"ARENAL, CONCEPCION 4235",Chacarita
-58.45295764,-34.59353841,"ARENAL, CONCEPCION 4455",Chacarita
-58.45383913,-34.59432833,"ARENAL, CONCEPCION 4555",Chacarita
-58.45480382,-34.59520907,"ARENAL, CONCEPCION 4655",Chacarita
-58.39894981,-34.59428911,ARENALES 2258,Recoleta
-58.40478113,-34.59209323,ARENALES 2774,Recoleta
-58.40851271,-34.58906156,ARENALES 3162,Recoleta
-58.45063667,-34.61397798,ARENGREEN 1338,Caballito
-58.44394608,-34.58413471,AREVALO 1375,Palermo
-58.44196389,-34.58236801,AREVALO 1531,Palermo
-58.43989655,-34.58056565,AREVALO 1745,Palermo
-58.43911707,-34.57989416,AREVALO 1827,Palermo
-58.43736136,-34.57835463,AREVALO 2015,Palermo
-58.43618064,-34.57732694,AREVALO 2181,Palermo
-58.4347807,-34.57611148,AREVALO 2321,Palermo
-58.49845312,-34.67379013,ARGENTINA AV. 6890,Villa Lugano
-58.50116958,-34.58969455,ARGERICH 4356,Villa Pueyrredon
-58.50247291,-34.58825065,ARGERICH 4560,Villa Pueyrredon
-58.50382199,-34.58676171,ARGERICH 4720,Villa Pueyrredon
-58.50548132,-34.58492596,ARGERICH 4962,Villa Pueyrredon
-58.50709144,-34.58314366,ARGERICH 5192,Villa Pueyrredon
-58.50838444,-34.58171556,ARGERICH 5390,Villa Pueyrredon
-58.47691935,-34.58496108,ARISMENDI 2690,Parque Chas
-58.47839364,-34.58610481,ARISMENDI 2848,Parque Chas
-58.43114898,-34.59204163,ARMENIA 1329,Palermo
-58.42859244,-34.59036051,ARMENIA 1561,Palermo
-58.42651155,-34.58898189,ARMENIA 1773,Palermo
-58.42458196,-34.58770438,ARMENIA 1963,Palermo
-58.42328334,-34.58686084,ARMENIA 2121,Palermo
-58.42017414,-34.58486591,ARMENIA 2341,Palermo
-58.45690428,-34.5746914,"ARREDONDO, VIRREY 3231",Colegiales
-58.45772084,-34.57573614,"ARREDONDO, VIRREY 3375",Colegiales
-58.45900781,-34.57744424,"ARREDONDO, VIRREY 3532",Colegiales
-58.4794007,-34.60185152,ARREGUI 2375,Villa Del Parque
-58.48216556,-34.60342096,ARREGUI 2595,Villa Del Parque
-58.48465183,-34.60482916,ARREGUI 2783,Villa Del Parque
-58.48814824,-34.60681053,ARREGUI 3063,Villa Del Parque
-58.49055252,-34.60816844,ARREGUI 3247,Villa Del Parque
-58.49359036,-34.60986277,ARREGUI 3549,Villa Del Parque
-58.49635918,-34.61143009,ARREGUI 3787,Villa Del Parque
-58.50064475,-34.61389736,ARREGUI 4191,Monte Castro
-58.50207438,-34.61471816,ARREGUI 4305,Monte Castro
-58.50652721,-34.61725683,ARREGUI 4685,Monte Castro
-58.51105789,-34.62015269,ARREGUI 5095,Monte Castro
-58.51287744,-34.62165921,ARREGUI 5217,Monte Castro
-58.51515812,-34.62378158,ARREGUI 5439,Monte Castro
-58.51727461,-34.62572064,ARREGUI 5681,Monte Castro
-58.52628046,-34.62885972,ARREGUI 6645,Versalles
-58.5288205,-34.62938918,ARREGUI 6869,Versalles
-58.52127943,-34.62777553,ARREGUI AV. 6155,Versalles
-58.52250561,-34.62802956,ARREGUI AV. 6271,Versalles
-58.44599166,-34.56311186,ARRIBEÑOS 1595,Belgrano
-58.45238001,-34.5554636,ARRIBEÑOS 2394,Belgrano
-58.45422765,-34.55316492,ARRIBEÑOS 2631,Belgrano
-58.50111805,-34.64836396,ARTIGAS MANUEL DE 5720,Mataderos
-58.50215413,-34.64932345,ARTIGAS MANUEL DE 5866,Mataderos
-58.50479676,-34.65178073,ARTIGAS MANUEL DE 6140,Mataderos
-58.50652132,-34.65332654,ARTIGAS MANUEL DE 6368,Mataderos
-58.50763718,-34.65440381,ARTIGAS MANUEL DE 6506,Mataderos
-58.50824771,-34.65499288,ARTIGAS MANUEL DE 6606,Mataderos
-58.51005138,-34.6567536,ARTIGAS MANUEL DE 6890,Mataderos
-58.48640005,-34.59640066,"ARTIGAS, JOSE GERVASIO, GRAL. 3206",Agronomia
-58.49034782,-34.59161267,"ARTIGAS, JOSE GERVASIO, GRAL. 3596",Agronomia
