long,lat,materiales,dias_y_horario,direccion,barrio
-58.3786195,-34.64158177,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,SUAREZ AV. 2032,
-58.45518293,-34.68483713,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"ROCA, CNEL. AV. 5252",
-58.43849876,-34.54702281,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Miércoles a Domingos de 11 a 19 hs.,"GUIRALDES, INT. 2560",
-58.44989528,-34.55795601,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",ARRIBEÑOS 2101,
-58.36944859,-34.62832169,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.","GARCIA, MARTIN AV. e IRALA",San Telmo
-58.4259272,-34.58873049,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",COSTA RICA Y ARMENIA,Palermo
-58.4488318,-34.61845523,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,AVELLANEDA  AV. 1240,Caballito
-58.39368823,-34.58905542,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,Horario de atención del edificio en el que está instalado,"LOPEZ, VICENTE 2050",Recoleta
-58.38218936,-34.59523331,Papel / Cartón / Vidrio / Metal / Plástico / Tetra-brik / Telgopor,"Lunes a Domingo, las 24 hs.",9 DE JULIO AV. y SANTA FE AV.,Retiro
-58.39678188,-34.58802782,Aparatos de informática y comunicación (hasta 3 unid. y accesorios) /pequeños electrodomésticos (hasta 3 un.)/ papel / cartón / metal / vidrio / plástico / telgopor / tetra-brik / Aceite Vegetal usado,Miércoles a Domingos de 11 a 19hs.,LAS HERAS GENERAL AV. y CANTILO,Recoleta
